objectid,filename,compound,title,format,titleSE,patentnumber,titleJP,patentee,patentee2,patentee3,inventor,location,date,class,latitude,longtitude,subject,description
patent00,,,Device for dwellings whose walls are composed of glass boxes,image/jpg,"Anordning vid bostäder, hvilkas väggar äro sammansatta af glaslådor",5290,,Wilhelm Van der Heyden,,,,Yokohama,1892-07-18,Building structures and construction,35.443707,139.638031,Building structures and construction,
patent01,patent1.jpg,,Process of Manufacturing Vegetable Nitrogenous Nutrient,image/jpg,Sätt att framställa ett kväfvehaltigt näringsmedel,26917,植物性含窒滋養素製造法,Keiichiro Okazaki,Hanuemon Yenjo,,,Tokyo,1907-05-14,"Foods and delicacies, not provided for in special classes, including fodder",35.652832,139.839478,"Foods and delicacies, not provided for in special classes, including fodder",
patent02,,,Ways of producing cobalt filaments for electric light bulbs,image/jpg,Sätt att framställa glödtrådar av kobolt för elektriska glödlampor,37969,金澤式「コバルト」電燈用纎條製造法,Kiyoe Tanimura,,,Kanazawa Chouemon,Tokyo,1913-07-15,Electrical engineering,35.652832,139.839478,Electrical engineering,
patent03,,,"Improvements in Oscillation Gaps or Discharges for use in Radio-telephony, Radio-telegraphy and like purposes",image/jpg,Högfrekvenssvängningsapparat för trådlös telegrafi och telefoni,40132,,Masajiro Kitamura,Eitaro Yokoyama,Wichi Tarikata,,Tokyo,1914-01-22,Electrical engineering,35.652832,139.839478,Electrical engineering,
patent04,,,Process of manufacturing paper-pulp,image/jpg,Förfaringssätt att tillverka pappersmassa,47562,,Tsuneya Marusawa,,,,Fukuoka,1918-04-13,"Manufacture of cellulose, paper and cardboard",33.583332,130.399994,"Manufacture of cellulose, paper and cardboard",
patent05,,,Improvements in Elastic Tyres,image/jpg,Anordning vid elastiska ringar,48695,,Risuke Fukuda ,,,,Yokohama,1918-07-13,Vehicles travelling otherwise than on rails,35.443707,139.638031,Vehicles travelling otherwise than on rails,
patent06,,,Improvements in knotless netting suitable for fishing and like purposes,image/jpg,Nätverk utan knutar,52059,,Yeizaburo Hitaka                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,,,,Tokyo,1922-06-15,"Braiding, lace-making, knitting, trimmings, tapestry work and net-making",35.652832,139.839478,"Braiding, lace-making, knitting, trimmings, tapestry work and net-making",
patent07,,,Improvements in the method of making ferro-boron and boron steel,image/jpg,Förfaringssätt för framställning av ferrobor eller borstål,52146,,Takeo Miyaguchi,,,,Tokyo,1921-11-03,Ferrous metallurgy,35.652832,139.839478,Ferrous metallurgy,
patent08,,,Method of cementing iron and iron alloys with boron,image/jpg,Förfaringssätt för järns och järnlegeringars cementering med bor,55033,,Takeo Miyaguchi,,,Takeo Miyaguchi,Tokyo,1921-11-03,Ferrous metallurgy,35.652832,139.839478,Ferrous metallurgy,
patent09,,,Method of cementing iron and iron alloys with boron,image/jpg,Förfaringssätt för järns och järnlegeringars cementering med bor,55034,,Takeo Miyaguchi,,,Takeo Miyaguchi,Tokyo,1921-11-03,Ferrous metallurgy,35.652832,139.839478,Ferrous metallurgy,
patent10,,,Procedures for the manufacture of iron or steel,image/jpg,Förfaringssätt vid tillverkning av järn eller stål,58209,,Takeo Miyaguchi,,,Takeo Miyaguchi,Tokyo,1921-11-03,Ferrous metallurgy,35.652832,139.839478,Ferrous metallurgy,
patent11,,,Windproof match box,image/jpg,Tändsticksask med vindskydd,53700,,Alexis Konshin,John Gadsby,,Alexis Konshin,Yokohama,1922-01-21,"Haberdashery, jewellery, smoking and tobacco equipment",35.443707,139.638031,"Haberdashery, jewellery, smoking and tobacco equipment",
patent12,,,Permanent magnet,image/jpg,Permanent magnet,57009,特殊合金鋼,Sumitomo Chukosho Ltd,,,Kotaro Honda,Osaka,1918-10-03,Electrical engineering,34.672314,135.484802,Electrical engineering,
patent13,,,Permanent magnet Supplementary patent No 57009,image/jpg,Permanent magnet Tilläggspatent nr 57009,53953,特殊合金鋼,Sumitomo Chukosho Ltd,,,Kotaro Honda,Osaka,1918-10-03,Electrical engineering,34.672314,135.484802,Electrical engineering,
patent14,,,Permanent magnet,image/jpg,Permanent magnet,86940,「コバルトニッケルチタン」鋼製永久磁石,Kinzoku Zairyo Kenkyusho,,,Kotaro Honda,Tokyo,1933-12-29,Ferrous metallurgy,35.652832,139.839478,Ferrous metallurgy,
